date,demand
15-11-04,681.95
16-11-04,720.30
17-11-04,733.87
18-11-04,734.79
19-11-04,711.41
20-11-04,632.33
21-11-04,566.43
22-11-04,704.89
23-11-04,723.29
24-11-04,729.78
25-11-04,731.89
26-11-04,727.78
27-11-04,640.93
28-11-04,577.69
29-11-04,713.15
30-11-04,740.45
01-12-04,739.11
02-12-04,737.01
03-12-04,731.36
04-12-04,629.29
05-12-04,575.02
06-12-04,587.89
07-12-04,657.99
08-12-04,606.07
09-12-04,743.62
10-12-04,748.63
11-12-04,649.54
12-12-04,590.18
13-12-04,720.37
14-12-04,748.64
15-12-04,750.56
16-12-04,746.11
17-12-04,726.67
18-12-04,633.13
19-12-04,574.72
20-12-04,700.23
21-12-04,734.08
22-12-04,736.67
23-12-04,710.83
24-12-04,614.49
25-12-04,525.90
26-12-04,569.92
27-12-04,704.10
28-12-04,726.47
29-12-04,700.50
30-12-04,684.88
31-12-04,619.91
01-01-05,535.80
02-01-05,568.20
03-01-05,718.79
04-01-05,745.98
05-01-05,729.36
06-01-05,605.92
07-01-05,682.53
08-01-05,659.93
09-01-05,625.66
10-01-05,777.37
11-01-05,807.81
12-01-05,807.87
13-01-05,803.53
14-01-05,777.90
15-01-05,677.24
16-01-05,613.71
17-01-05,759.16
18-01-05,783.17
19-01-05,777.43
20-01-05,755.77
21-01-05,743.20
22-01-05,646.49
23-01-05,596.88
24-01-05,747.79
25-01-05,800.78
26-01-05,828.39
27-01-05,850.13
28-01-05,851.27
29-01-05,730.16
30-01-05,668.65
31-01-05,811.14
01-02-05,821.63
02-02-05,804.76
03-02-05,801.02
04-02-05,789.87
05-02-05,706.49
06-02-05,648.65
07-02-05,781.87
08-02-05,785.30
09-02-05,790.22
10-02-05,771.97
11-02-05,759.33
12-02-05,656.65
13-02-05,587.44
14-02-05,729.97
15-02-05,766.41
16-02-05,784.51
17-02-05,793.69
18-02-05,794.49
19-02-05,690.27
20-02-05,624.09
21-02-05,783.03
22-02-05,803.07
23-02-05,810.99
24-02-05,808.01
25-02-05,801.44
26-02-05,701.63
27-02-05,650.97
28-02-05,807.50
01-03-05,844.70
02-03-05,831.71
03-03-05,821.67
04-03-05,828.87
05-03-05,710.10
06-03-05,644.67
07-03-05,780.54
08-03-05,803.91
09-03-05,791.83
10-03-05,780.10
11-03-05,778.13
12-03-05,677.25
13-03-05,600.92
14-03-05,724.71
15-03-05,724.40
16-03-05,711.72
17-03-05,698.62
18-03-05,679.51
19-03-05,593.49
20-03-05,538.12
21-03-05,656.96
22-03-05,662.81
23-03-05,660.53
24-03-05,555.66
25-03-05,506.58
26-03-05,523.34
27-03-05,485.77
28-03-05,564.24
29-03-05,651.74
30-03-05,675.15
31-03-05,665.32
01-04-05,661.00
02-04-05,596.81
03-04-05,536.73
04-04-05,651.29
05-04-05,674.17
06-04-05,662.22
07-04-05,669.42
08-04-05,677.96
09-04-05,596.43
10-04-05,531.32
11-04-05,664.38
12-04-05,684.74
13-04-05,679.81
14-04-05,666.78
15-04-05,679.47
16-04-05,596.96
17-04-05,520.91
18-04-05,653.44
19-04-05,672.37
20-04-05,680.82
21-04-05,675.17
22-04-05,663.86
23-04-05,573.19
24-04-05,509.47
25-04-05,648.29
26-04-05,666.22
27-04-05,672.17
28-04-05,671.98
29-04-05,658.38
30-04-05,571.88
01-05-05,481.67
02-05-05,550.29
03-05-05,644.84
04-05-05,664.86
05-05-05,654.08
06-05-05,667.37
07-05-05,579.30
08-05-05,508.04
09-05-05,645.39
10-05-05,679.30
11-05-05,681.91
12-05-05,670.82
13-05-05,656.73
14-05-05,562.97
15-05-05,484.44
16-05-05,600.25
17-05-05,646.92
18-05-05,660.70
19-05-05,662.95
20-05-05,665.91
21-05-05,581.60
22-05-05,519.66
23-05-05,663.66
24-05-05,678.77
25-05-05,682.94
26-05-05,678.90
27-05-05,680.57
28-05-05,597.31
29-05-05,527.91
30-05-05,667.09
31-05-05,682.19
01-06-05,684.20
02-06-05,703.45
03-06-05,699.81
04-06-05,619.84
05-06-05,556.23
06-06-05,695.49
07-06-05,725.61
08-06-05,721.96
09-06-05,720.04
10-06-05,718.22
11-06-05,618.47
12-06-05,539.66
13-06-05,666.26
14-06-05,703.67
15-06-05,707.58
16-06-05,731.27
17-06-05,742.95
18-06-05,651.35
19-06-05,581.33
20-06-05,742.12
21-06-05,770.93
22-06-05,772.31
23-06-05,741.09
24-06-05,690.36
25-06-05,630.43
26-06-05,568.53
27-06-05,724.96
28-06-05,744.62
29-06-05,745.66
30-06-05,756.02
01-07-05,745.27
02-07-05,645.30
03-07-05,604.51
04-07-05,731.37
05-07-05,743.17
06-07-05,767.05
07-07-05,740.15
08-07-05,727.10
09-07-05,630.46
10-07-05,560.08
11-07-05,730.89
12-07-05,756.12
13-07-05,766.92
14-07-05,770.36
15-07-05,778.67
16-07-05,669.69
17-07-05,581.66
18-07-05,748.05
19-07-05,766.70
20-07-05,774.66
21-07-05,785.79
22-07-05,764.57
23-07-05,645.23
24-07-05,562.00
